tweet,sentiment,language,tag
Wag tayo maniwala dyan. Delawan yang Blomberg — DDS 🤦‍♂️ #covid19PH https://t.co/aRjkMnKPL0,0,tl,Balita
Kaya magpabakuna na po tayong lahat. Para rin ito sa ating lahat. #WeHealAsOnePH #COVID19PH,0,tl,Regulasyon
Labels are good but they can also be problematic. Baka mas may mapala pa tayo if palitan ang mga decision-makers kesa sa labela diba? #ECQ #BBQ #ItsComplicated #COVID19PH,0,tl,Regulasyon
Narito na bagong roleta ng Pilipinas para sa COVID-19. 😂 #covid19ph #spinthewheelpilipinas https://t.co/ceJI7zBFjW,-1,tl,Balita
What is political is personal. What is personal is political. Death of friends is loved ones - very personal and yes political. #COVID19PH,-1,en,Balita
Brgy health centers asking you for 22 pesos for a 3-page form for medical certificate and 2 index cards 🤢🤢🤢 #covid19ph,-1,en,Response
Punta tayo ng Baguio.... 🚗 AS A FRIEND 😁😁😁 #COVID19 #COVID19PH #COVID19Pandemic,1,en,Quarantine
"“There's one thing we all can do to end the pandemic: that’s getting vaccinated. It's our way, it's a concrete gesture that everyone can do. So, get vaccinated — and we'll get through this faster.” 💉💯💪🙏 #COVID19PH #GodsPerfectTiming #VaccineNationIsTheSolution https://t.co/8pdXzvjUpi",1,en,Response
Sa mga doktor at eksperto lang tayo dapat makinig. Huwag kayong makinig sa mga sinasabi ng mga artista about sa #covid19ph at lalung-lalo na sa mga pulitikong may plano sa #halalan2022.,0,tl,Regulasyon
"Kapag nakawala na tayo dito sa #COVID19PH, huwag pa rin tayong pakampante. Kasi may mga remnants pa ang Aquino variants na paikot-ikot handang magpahirap muli ng mga tao for 6 years.",0,tl,Balita
Kaunting tiis nalang makakawala din tayo dito sa #COVID19PH. Nakatiis nga tayo ng 30 taon sa Aquino variants kaya laban lang.,1,tl,Balita
"Less can definitely be more... Otherwise you confirm what people suspect all along: your gross ignorance, obtuseness, fatuity, or lunacy Yes. The absurdity is real. #LateNightPressers #DutsAfterDark #COVID19PH",-1,en,Response
"After the quick but highly uncomfortable swab test, waiting for the result and opening the envelope is the most nerve-racking part. When I saw the NOT DETECTED and NEGATIVE bold letters, I was relieved. Thank God! Prayers and vaccines really work. 🙏 #TYL #COVID19PH https://t.co/udKQlQGv05",1,en,Quarantine
"@DOTrPH Anu Po ito? Boni station , palupitan na po Tayo Ng CASES #COVID19 #Covid19ph #resbakuna @DOHgovph https://t.co/wEkQ6bKVmB",-1,tl,Lakbay
Yung KAPAL NG MUKHA Ng mga DILAWAN at LIBERAL.... Credit GRABBER 💯 #Halalan2022 #Eleksyon2022 #COVID19 #covid19ph https://t.co/kA5t2BgJfz,-1,tl,Balita
Gratitude Tuesday: sharing packed breakfast to Perpetual Succour Hospital Frontliners. Thank you for your steadfast dedication to provide proper health care especially during these trying times. 🙏🏼 #marcopolocebu #supportfrontliners #marcopoloway #cebu #gratitude #covid19ph https://t.co/rjoSMeFRFt,1,en,Response
"Bakeett?! Unli lockdown naman tayo, faceshield, no-dine in, no barbershop, no gym. Tao pa din ba may kasalanan nito? Hindi pa din ba kami sumusunod sa minimum health standards? Ayusin niyo naman @DOHgovph #IATF Gusto pa namin mabuhay. 😱😱😭😭 #Covid19PH",-1,tl,Balita
"Proteksyon natin laban sa #COVID19 ... BAKUNA , GOVT PROTOCOLS at DASAL #resbakuna #maycovidpapo #StaySafeEveryone #COVID19Ph",1,tl,Regulasyon
We are hopeless. 😱😭 #COVID19PH,-1,en,Quarantine
Tiniyak ni Health Secretary Francisco Duque III na nagbigay na siya ng marching order para pabilisin ang pamimigay ng Special Risk Allowance para sa mga healthcare workers sa bansa. #COVID19PH https://t.co/sbTDHfC6xN,0,tl,Balita
"Naniniwala si DOT Sec. Berna Romulo-Puyat na ang pagtamo sa halos 100% pagbabakuna sa mga manggagawa sa sektor ng turismo ay dahil sa bayanihan ng mga lokal at nasyunal na pamahalaan at ng mga pribadong sektor na sumuporta sa programa ng gobyerno. 
 #COVID19PH #RESBAKUNA https://t.co/3RMWRQaLld",0,tl,Regulasyon
"Kinumpirma ni Department of Tourism Secretary Berna Romulo-Puyat na 95% ng mga tourism worker sa National Capital Region (NCR) ay nabakunahan na laban sa COVID-19, base sa datos noong August 20. #WeRiseAsOne #COVID19PH #RESBAKUNA https://t.co/sH72UpIhhc",0,tl,Regulasyon
"The month of August has been kind to me, so far. But I can't deny how it made me so sad! 🙏🥺💔 Added up is how this Pandemic has been handled with Unthinkable Measures! 💯🤦💉 #HumanLifeIsSoFragile #Covid19Ph #DOH #VaccineCovid19 https://t.co/ZPsskmYPEM",-1,en,Quarantine
Love. This kind of love is once-in-a-lifetime... To love another even it it kills him - and the rest of us♥️💔♥️💔♥️ 👊👊👊 #CoVid19Ph #LoveTeamNgBayan,-1,en,Quarantine
Got my first dose of Pfizer-BioNTech COVID-19 vaccine. Worth the wait! 💉💪🏻 #Pfizer #Resbakuna #Vaccinated #COVID19PH https://t.co/3vgPspwQEy,1,en,Response
"Perspective. At ito, mukhang matibay at may silbi - walang drama at hindi madali mawarak. Wash your hands! @JapanHomeCentre 👊🇵🇭👊🇵🇭👊 #COVID19PH #DOHItToMeOneMoreTime #TaboIsLife https://t.co/oBiv09riZT",1,tl,Balita
@PhilippineStar @alexisbromero Hatinggabi… sino ba ang intended audience nito? Diba aswang lang ang gising? Then again I’m still up… (Hindi po boses niyo nais pakinggan while in bed... hayaan niyo na po akong magpantasya at managinip in peace) #MidnightPressers #DutsAfterDark #CoVid19Ph,-1,tl,Balita
